name,domain,website_summary,linkedin_product_summary,linkedin_other_summary,last_post_date,inactive_6m,contradiction_notes,category,primary_user_summary,unique_value_prop,funding_status,funding_amount,funding_confidence,sources,data_notes,last_updated
Checkmake Research,https://checkmateresearch.ai/,"Checkmate Research is an AI platform that conducts autonomous expert interviews for institutional investors, producing analyst-quality transcripts in hours. It targets hedge fund analysts and institutional research teams who need to scale due diligence and channel checks without coordinating human interviewers or translators.",,,,Yes,,Research Analysts,Sector research analysts at long/short equity hedge funds use this daily to conduct and scale expert network calls for due diligence and channel checks without relying on human interviewers.,"Uniquely conducts fully autonomous expert interviews producing analyst-quality transcripts in hours without human interviewers or translators, directly competing with Qualitate and Synquery but focused specifically on institutional hedge fund due diligence and channel checks.",,,Unverified,Website: https://checkmateresearch.ai/ | LinkedIn (company funding data): https://www.linkedin.com/company/checkmate-research/,LinkedIn: page exists but has published no posts — no product content to summarize,2026-08-06
Clifton AI,https://cliftonai.com/,"Clifton AI is an AI-powered research platform for investment professionals that automates financial analysis, model building, and earnings monitoring. It is built for hedge funds, mutual funds, equity research teams, and pension funds.","Clifton AI builds financial models from plain-English prompts, pulling income statements, balance sheets, and KPIs directly from source documents into linked multi-tab workbooks. It also offers real-time earnings analysis, a secure data vault for private documents, email-based research queries, MCP integration with Claude and ChatGPT, and reusable 'Skills' workflows that teams can share.",Clifton AI attended iConnections GlobalAlts New York to discuss agentic AI with alternative managers. The company is hiring a Marketing Manager in Los Angeles and emphasizes a data-privacy policy where it does not train on customer data.,2026-07-17,No,,Research Analysts,"Equity research analysts and buy-side investment analysts at hedge funds, mutual funds, and pension funds use Clifton daily to automate financial model building, earnings analysis, and company due diligence.","Differentiates by building multi-tab linked financial workbooks from plain-English prompts with direct source-document data pull, combined with a team-shareable 'Skills' library and email-based research queries — more model-building automation than most peers.",Funded,,Partial,Website: https://cliftonai.com/ | LinkedIn (company funding data): https://www.linkedin.com/company/cliftonai/ | Funding (web search): https://tracxn.com/d/companies/clifton-ai/__wW21K5_ynYbFCi54bYBpzzc4dCcb9VHyV_jVwRLfUHc,,2026-08-06
Complexiti,https://complexiti.ai/,"Complexiti sells an AI-powered exception resolution platform for banks that automatically handles flagged compliance and operational exceptions — such as sanctions and KYC issues — that existing banking systems raise but cannot close, integrating into current technology stacks without replacing them.","Complexiti's platform resolves banking operational exceptions in under 10 seconds using an agentic AI engine built on bank-approved logic, regulatory data, and institutional playbooks, with one core engine and six operational modules covering KYC, AML, and onboarding workflows. Every decision is captured in an immutable audit trail, and the system integrates into existing bank technology without requiring new workflows.","Posts announce the completion of an MVP and launch of a new website, with demos now available to prospective clients; the company also shared holiday greetings and general momentum updates as it moves toward market.",2026-04-01,No,,Compliance Teams,"KYC, AML, and onboarding compliance teams at banks, broker-dealers, and asset managers use this daily to automatically resolve flagged exceptions that would otherwise require manual analyst investigation and documentation.","Uniquely targets the exception resolution gap — automatically closing flagged sanctions, KYC, and AML exceptions that existing banking systems raise but cannot resolve, in under 10 seconds.",,,Unverified,Website: https://complexiti.ai/ | LinkedIn (company funding data): https://www.linkedin.com/company/complexiti.ai/,,2026-08-06
Daloopa,https://daloopa.com/,"Daloopa sells verified financial data and modeling tools—Excel add-ins, an API, and AI agent integrations—to analysts at hedge funds, mutual funds, and banks who need accurate, source-linked fundamental data on 6,000+ public companies. It cuts the time analysts spend building and updating financial models by automating data extraction and linking every figure back to its original filing.","Daloopa offers MCP integrations with Anthropic, OpenAI, Microsoft 365 Copilot, Perplexity, and Rogo, letting analysts query verified financial data in natural language inside any connected LLM. It also has 20+ built-in 'Skills' that automate end-to-end research workflows—such as building Excel models, tearsheets, and research notes—using source-linked data pulled directly from filings.","Daloopa announced a $47M Series C round and has been shortlisted for the AI in Capital Markets Awards 2026 in the Best AI-Based Solution for Data Quality category. The company recently crossed 6,000 companies under coverage and hosted a webinar with CEO Thomas Li on building finance agents using Claude Code and Daloopa's dataset.",2026-07-29,No,,Research Analysts,"Equity research analysts at hedge funds, mutual funds, and investment banks use Daloopa daily to build and update financial models with verified, source-linked fundamental data, cutting model initiation time by up to 70% and saving roughly 2 hours per ticker during earnings season.","Uniquely provides human-verified, source-linked fundamental data on 6,000+ public companies with every figure traced to its original filing, offering the most rigorous data accuracy guarantee for Excel model population among peers here.",Funded,$47M Series C,Verified,Website: https://daloopa.com/ | LinkedIn (company funding data): https://www.linkedin.com/company/daloopa | Funding (web search): https://daloopa.com/blog/press-release/47-million-series-c,,2026-07-23
Databento,https://databento.com/,"Databento sells API-based access to historical and real-time financial market data — including full order book feeds, raw PCAPs, and normalized data — on a pay-as-you-go or subscription basis. Its customers range from early-stage quant startups to large hedge funds and investment firms that need fast, programmatic access to exchange data.","Databento offers live exchange feeds and terabytes of historical market data via self-service APIs, with usage-based pricing so customers only pay for what they use. The platform covers multiple asset classes and geographies, stores over 100 petabytes of data, and serves use cases from student trading strategies to institutional trading desks.","Databento announced a $97 million Series B led by NEA with participation from DRW Venture Capital, Redpoint Ventures, and Tribe Capital, and is actively hiring across engineering, sales, and marketing. The company has hosted quant meetups in London, appeared on a Nasdaq billboard, and counts over 60,000 customers since launching three years ago.",2026-07-28,No,,Quant / Data Engineering,"Quant researchers and data engineers at hedge funds, prop trading firms, and fintechs use Databento daily to access, integrate, and build models on institutional-grade market data via API.","The only provider here offering raw PCAP-level exchange data alongside normalized feeds, with 100+ petabytes of historical market data on pure pay-as-you-go pricing targeting quant startups through institutional desks.",Funded,$97M Series B,Verified,Website: https://databento.com/ | LinkedIn (company funding data): https://www.linkedin.com/company/databento | Funding (web search): https://www.linkedin.com/posts/christinaqi_im-thrilled-to-share-that-databento-has-activity-7257425879037829120-sre2,,2026-07-23
Dataglade,https://dataglade.com/,"Dataglade is an AI-powered financial research terminal that lets hedge funds, wealth managers, and fintechs query earnings transcripts, financial filings, and fundamental data across 48,000+ companies to generate analyses, memos, and financial models. It is sold to institutional investors who need fast, cited research without manually digging through SEC filings.",,,,Yes,,Research Analysts,"Research analysts at hedge funds and wealth managers use this daily to query financial filings and earnings transcripts, generate investment memos, and build financial models without manual document review.","Undifferentiated — overlaps heavily with Fintool, Hudson Labs, and Tenzing MEMO on querying filings and transcripts across large company universes to generate cited analyses and financial models.",Funded,$500K,Partial,Website: https://dataglade.com/ | LinkedIn (company funding data): https://www.linkedin.com/company/dataglade | Funding (web search): https://pitchbook.com/profiles/company/522871-39,"LinkedIn: page found, no post activity detected",2026-07-23
Datamule,https://datamule.xyz/,"Datamule provides a low-cost API and open-source tools for accessing and processing SEC filing data, serving researchers, startups, and AI developers who need cheap, reliable access to SEC documents.",,,,Yes,,Quant / Data Engineering,"Quant developers and data engineers at hedge funds, fintechs, and research firms use this to access and process SEC filings cheaply at scale for financial AI and research pipelines.","Uniquely focused exclusively on low-cost, open-source API access to SEC filing data, serving researchers and AI developers who need cheap, reliable SEC document processing that no other company here specializes in.",,,Unverified,Website: https://datamule.xyz/ | LinkedIn (company funding data): https://www.linkedin.com/company/datamulesec,"LinkedIn: page found, no post activity detected",2026-07-23
Deep Insight Labs,https://deepinsightlabs.ai/,"Deep Insight Labs builds AI-powered investment research tools for professional investors, including an agentic platform (Vector) that automates research and due diligence for asset managers, hedge funds, and EAMs, and a public beta co-pilot for retail investors.","Vector is an AI research platform that generates evidence-backed investment reports and is evolving into an institutional knowledge platform for investment teams, covering research capture, thesis formation, decision tracking, and organizational learning. Seldon is a drop-in LLM gateway that monitors production AI traffic, identifies repetitive tasks like extraction and classification, and automatically compiles them into cheaper deterministic ETL pipelines while routing genuinely complex reasoning to frontier models.","The company reported 150% week-over-week growth and 4 LOIs within three weeks of launching Seldon, with over 3,000 stakeholder-ready investment reports generated on Vector. They have research accepted at KDD and ACM CAIS, are expanding into a broader platform called Podium for AI-native investment management, and are seeking design partners among asset managers and teams with high-volume LLM workloads.",2026-08-05,No,,Research Analysts,"Investment research analysts and portfolio managers at hedge funds, EAMs, and asset managers use Vector to automate due diligence, generate stakeholder-ready reports, and preserve institutional knowledge around investment theses and decisions.","Uniquely combines an institutional research platform (Vector) with Seldon, an LLM gateway that automatically identifies repetitive AI tasks and converts them into cheaper deterministic ETL pipelines — the only cost-optimization infrastructure layer in this list.",Funded,$25K undisclosed round,Conflicting,Website: https://deepinsightlabs.ai/ | LinkedIn (company funding data): https://www.linkedin.com/company/deep-insight-labs | Funding (conflicting — used web search): https://sg.linkedin.com/company/deep-insight-labs,,2026-08-06
Endex,https://endex.ai/,"Endex is an AI agent built natively inside Microsoft Excel that automates financial modeling and data analysis for finance teams at banks, hedge funds, private equity firms, and large corporations. It lets users build models, generate charts, search internal and external data, and convert PDFs to tables using plain-language commands without leaving Excel.","Endex works inside Excel and lets finance professionals use natural language to slice loan tapes, build summary tables and charts, concatenate data files, create three-statement models and DCFs, and convert PDFs to tables — cutting tasks that took hours down to minutes. It features auditable citations, custom financial LLMs, deep research integration, workflow memory, and AI-powered data visualization.","Endex has deployed at Howard Hughes and is partnering with Columbia Business School and Wall Street Prep; the company attended SuperReturn US West and is hiring. The $14M seed round led by the OpenAI Startup Fund was announced, and the team spent a year at OpenAI's San Francisco office refining the product.",2026-04-29,No,,Research Analysts,"Investment banking analysts and financial analysts at hedge funds, private equity firms, and corporate finance teams use Endex daily inside Excel to build financial models, analyze data, and generate reports faster using natural language commands.","Differentiates by being built natively inside Excel with custom financial LLMs and deep research integration, enabling natural-language financial modeling without leaving the spreadsheet — more Excel-native than most peers, though overlaps with Tracelight and Filot.",Funded,$14M Seed,Verified,Website: https://endex.ai/ | LinkedIn (company funding data): https://www.linkedin.com/company/endexai | Funding (web search): https://pitchbook.com/profiles/company/533365-66,,2026-07-23
Exa,https://exa.ai/,"Exa provides a search API and web agent tools that let AI applications and autonomous agents retrieve real-time web data, crawl pages, and conduct deep research. It is built for developers and AI teams who need high-quality, token-efficient search results with citations to power their AI products.","Exa offers a Search API for natural language queries with token-efficient results, an Agent endpoint for large-scale list building and CRM enrichment, and a research paper search corpus of 300M+ papers with higher accuracy than Google Scholar. It also launched Exa Connect, which gives agents access to data from providers like ZoomInfo, Crunchbase, and Similarweb beyond the public web.","Exa announced a $250M Series C at a $2.2B valuation and an $85M Series B, and its CEO Will Bryk has been speaking at events including RAISE Summit and AIE World Fair on the topic of search for the agentic web. The company is actively hiring and has released open-source skill sets used internally across GTM, recruiting, and engineering.",2026-07-28,No,,Quant / Data Engineering,"Data engineers and quant developers at financial institutions use Exa's search API to feed real-time web data and research into AI agents for tasks like market analysis, earnings research, and financial data enrichment.","Uniquely combines a 300M+ research paper corpus (outperforming Google Scholar) with Exa Connect, giving agents access to licensed third-party data from ZoomInfo, Crunchbase, and Similarweb beyond the public web.",Funded,$250M Series C,Verified,Website: https://exa.ai/ | LinkedIn (company funding data): https://www.linkedin.com/company/exa-ai | Funding (web search): https://exa.ai/blog/announcing-series-c,,2026-07-23
Exvai Research,https://exvai-research.com/,"EXVAi Research builds AI-driven algorithms that identify recurring patterns in financial markets to support trading decisions across multiple asset classes and investment styles. It is aimed at investment professionals seeking quantitative, empirically validated trading solutions.",,,,Yes,,Portfolio Managers / Traders,Portfolio managers and traders at asset managers or proprietary trading desks use this to access AI-driven quantitative signals and algorithms for multi-asset trading decisions.,"Undifferentiated — overlaps heavily with Axyon AI and Finaipro on AI-driven quantitative signals and pattern recognition across asset classes, with no distinct data source, workflow, or modality cited.",,,Unverified,Website: https://exvai-research.com/ | LinkedIn (company funding data): https://www.linkedin.com/company/exvai-research/,"LinkedIn: page found, no post activity detected",2026-07-23
Finbar,https://finbar.com/,Finbar is an AI platform for investment research and financial modelling that pulls clean global financial data within minutes of release and lets analysts build or update models via a web platform or Excel add-in. It is built for equity analysts and portfolio managers at hedge funds and other investment institutions.,,,,Yes,,Research Analysts,"Equity research analysts and portfolio managers at hedge funds use Finbar daily to automate data collection, build financial models, and run AI-assisted company analysis, cutting manual data work and accelerating time-to-insight.","Undifferentiated — overlaps heavily with Daloopa, FinSynth, and Clifton AI on pulling clean financial data into Excel models for buy-side equity analysts shortly after earnings release.",Funded,$500K Pre-Seed,Conflicting,Website: https://finbar.com/ | LinkedIn (company funding data): https://www.linkedin.com/company/fin-bar | Funding (conflicting — used web search): https://www.namaventures.com/finbar-secures-pre-seed-funding-to-scale-ai-financial-research-platform,"LinkedIn: page found, no post activity detected",2026-07-23
Finoco,https://finoco.ai/,"Finoco AI sells an AI-powered platform for private credit, private equity, and commercial lending teams that centralizes deal diligence, covenant monitoring, portfolio reporting, and LP updates in one system, replacing scattered spreadsheets and tools. It serves asset managers and banks managing alternative credit and equity books.","Finoco compresses financial data ingestion, verification, and first-pass credit assessment into 48 hours with source-cited outputs, reads full datarooms to flag omissions against a normalized chart of accounts, and continuously monitors borrower covenants against user-defined thresholds to fire alerts when ratios move rather than when borrowers disclose. It also models legal waterfalls and security packages from executed documents, runs stress tests across an entire book, and routes repetitive tasks to smaller fine-tuned models to reduce cost and latency.","Posts position Finoco as a solution for private credit and alternative managers in India, APAC, and the GCC who lack the budget to build internal AI systems like large hedge funds, framing the product as a way to make compounding AI intelligence accessible beyond the largest players.",2026-07-26,No,,Research Analysts,"Credit analysts and portfolio managers at private credit funds, alternative asset managers, and commercial lenders use Finoco daily to run deal diligence, monitor covenants, and prepare IC and LP materials without manual data assembly.","Uniquely serves private credit and commercial lending with covenant monitoring that fires alerts when ratios move (not just when borrowers disclose), legal waterfall modeling from executed documents, and stress testing across an entire credit book.",,,Unverified,Website: https://finoco.ai/ | LinkedIn (company funding data): https://www.linkedin.com/company/finoco-ai,,2026-07-23
Finpilot,https://finpilot.ai/,"Finpilot is an AI knowledge management platform for allocators, endowments, OCIOs, family offices, RIAs, and wealth managers that automates research, document processing, portfolio monitoring, and reporting. It lets investment teams chat with their data, extract information from documents, synthesize large document sets, and set automated alerts — all without manual data entry.",,,,Yes,,Research Analysts,"Investment analysts and portfolio teams at allocators, endowments, OCIOs, family offices, and RIAs use this daily to automate manager research, due diligence, document analysis, and portfolio monitoring.","Differentiates by targeting allocators, endowments, OCIOs, and family offices specifically — a buyer segment underserved by most peers — with automated portfolio monitoring, document synthesis, and reporting tailored to that workflow.",Funded,$4M Seed,Verified,Website: https://finpilot.ai/ | LinkedIn (company funding data): https://www.linkedin.com/company/finpilot-ai | Funding (web search): https://www.thesaasnews.com/news/finpilot-secures-4-million-in-seed-round,"LinkedIn: page found, no post activity detected",2026-07-23
Finrep,https://finrep.ai/,"Finrep is an AI platform that helps public companies, law firms, and audit/advisory firms research, draft, and file SEC disclosures (10-Ks, 10-Qs, 8-Ks, S-1s) by pulling from EDGAR filings, accounting standards, and the user's own financial data. It also automates technical accounting memos, financial statement preparation, and SEC comment letter risk flagging.",,,2025-08-22,Yes,,Finance / Accounting,"Controllers, SEC reporting managers, and technical accounting teams at public companies and advisory/audit firms use this daily to research disclosures, draft filings, and prepare audit-ready documentation for EDGAR submission.","Uniquely targets SEC disclosure workflows—drafting 10-Ks, S-1s, and comment-letter risk flagging—by integrating EDGAR filings and accounting standards, which Banker does not address.",Funded,Seed (amount undisclosed),Partial,Website: https://finrep.ai/ | Funding (web search): https://tracxn.com/d/companies/finrep/__ELvUTy2VJUUs54KR0wwNgZq7kuKMJbjKVV10S0X20Gw,"LinkedIn: candidate 'thefinrep' found but identity unconfirmed — page reads as a finance/legal consulting firm, not the SEC-disclosure product; left unverified",2026-07-23
