name,domain,founders,founder_linkedin_urls,comment,founder_dna,classification_badge,status,source_list,linkedin_company_url
Lamp AI,https://www.lampi.ai/,Guillaume Coutras; Patrick Dos Santos; Clément Herr,https://fr.linkedin.com/in/guillaume-couturas; https://www.linkedin.com/in/patrick-d-998013a/; https://www.linkedin.com/in/clement-herr/,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/lampi-ai/
Lexfi,https://www.lexfi.ai/,,,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/lexfi
LinqAlpha,https://linqalpha.com/,Jacob Chanyeol Choi; Hojun Choi,https://www.linkedin.com/in/chanyeolchoi/; https://www.linkedin.com/in/hojunchoi1214/,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/linqalpha
Marvin Labs,https://www.marvin-labs.com/,Alex Hoffmann,https://www.linkedin.com/in/alexander-hoffmann-cfa,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/marvin-labs
Matterfact,https://matterfact.com/,Ashutosh Agarwal,https://www.linkedin.com/in/ashutoshagwl,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/matterfact
Mdotm,https://www.mdotm.ai/,,,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/mdotm-ltd
Menos AI,https://www.menosai.com/,William Wu; Chris Yang; Xiang Pan,https://www.linkedin.com/in/williamjunchenwu/; https://www.linkedin.com/in/chrisbaojiangyang/; https://www.linkedin.com/in/xiang-pan-25845438/,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/menos-ai
Metal,https://metal.ai/,Taylor Lowe; James O’Dwyer; Sergio Prada,https://www.linkedin.com/in/taylorlowe11; https://www.linkedin.com/in/jamesxodwyer; https://www.linkedin.com/in/sergiopradamora,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/metal
Midas AI,https://getmidas.ai/,Tim Makhauri; Russ Makhauri,https://www.linkedin.com/in/tim-makhauri; https://www.linkedin.com/in/russ-makhauri,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/getmidasai
MLQ,https://mlq.ai/,,,,,🖥️,✅,ai-for-hedge-funds,
Model Updater,https://modelupdater.com/,James Giacoumakis,https://www.linkedin.com/in/james-giacoumakis-405012242,,,📊,✅,ai-for-hedge-funds,https://www.linkedin.com/company/updater
ModelML,https://www.modelml.com/,Arnie Englander; Chaz Englander,https://linkedin.com/in/arnie-englander; https://www.linkedin.com/in/chazenglander,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/model-ml
Nash,https://www.manhattancomputation.com/,Jack Cohen,https://www.linkedin.com/in/johnrcurran/,Aka Manhattan Computation,,🖥️,✅,ai-for-hedge-funds,https://www.linkedin.com/company/usenash
Newcortex,https://www.newcortex.ai/,,,,,✨,✅,ai-for-hedge-funds,https://www.linkedin.com/company/newcortex-ai
Nosible,https://nosible.ai/,Stuart Reid,https://www.linkedin.com/in/stuartgordonreid,Appears to now be foucsed on more generic search (similar to Exa),,⚙️,✅,ai-for-hedge-funds,https://www.linkedin.com/company/nosible
Nummo,https://www.nummo.xyz/,Matthew Lee; Joon Lim,https://www.linkedin.com/in/matthew-m-lee/; https://www.linkedin.com/in/jhlim22/,,,📊,✅,ai-for-hedge-funds,https://www.linkedin.com/company/nummo
Obi9 Technologies,https://www.obi9tech.com/,Alessandro Chiavari,https://www.linkedin.com/in/alechiavari/,,,🖥️,✅,ai-for-hedge-funds,https://www.linkedin.com/company/obi9tech
Octagon AI,https://octagonai.co/,Ken So,https://www.linkedin.com/in/kenso01,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/octagonai
Onwish,https://www.onwish.ai/,Ran Zhao,https://www.linkedin.com/in/randyzhao,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/onwish
OpenBB,https://openbb.co/,Didier Rodrigues Lopes,https://www.linkedin.com/in/didier-lopes,,,🖥️,✅,ai-for-hedge-funds,https://www.linkedin.com/company/openbb-finance
Palmy Investing,https://palmyinvesting.com/,Mika Hemminger,https://www.linkedin.com/in/mika-h-70bb62271/,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/palmy-investing
Pascal AI Labs,https://pascalailabs.com/,Mithun Madhusudan; Vibhav Viswanathan,https://www.linkedin.com/in/mithunmadhusudan; https://www.linkedin.com/in/vibhav-viswanathan-13550015,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/pascal-ai-labs
Pebble,https://pebble.finance/,Justin Whitehead; James Esdaile,https://www.linkedin.com/in/justinwhitehead/; https://www.linkedin.com/in/james-esdaile-5ab92695/,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/pebble-finance-inc
Permutable AI,https://permutable.ai/,Wilson Chan,https://www.linkedin.com/in/wilson-chan-428482,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/permutableai
Phronesis Chat,http://www.phronesischat.ai/,,,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/phronesis-partners
Pinegap,https://www.pinegap.ai/,Ankit Varmani,https://www.linkedin.com/in/ankitvarmani/,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/pinegap
PleaseFix,https://pleasefix.ai/,,,Microsoft Office Suite Copilot,,📊,✅,ai-for-hedge-funds,https://www.linkedin.com/company/pleasefix-ai
Plux,https://plux.ai/,,,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/pagoplux
Portrait Analytics,https://www.portraitanalytics.ai/,David Plon; Connell Gough,https://www.linkedin.com/in/david-plon-b0578a24/; https://www.linkedin.com/in/conneli-gough-71856455/,,,📈,🧠,ai-for-hedge-funds,https://www.linkedin.com/company/portraitresearch/
Powder,https://www.powderfi.com/,,,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/powderfinance
Premia,https://premia.ai/,Nasreddine Ghribi,https://www.linkedin.com/in/nasreddine-ghribi-787545148/,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/premia
Primer,https://primerapp.com/,Seb Jory; Jason Warren,https://www.linkedin.com/company/primer-kernel-ai; https://www.linkedin.com/company/primer-kernel-ai,,,,,ai-for-hedge-funds,
Prosights,https://prosights.co/,Justin Wu; Aaron Guo,https://linkedin.com/in/justinwuokc; https://linkedin.com/in/guoaaron,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/prosightsco
Prymer,https://prymer.ai/,Derek Snow,https://www.linkedin.com/in/snowderek/,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/primer-ai
Qualitate,https://qualitate.io/,,,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/qualitate-io
Quantly,https://quantly-ai.com/,,,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/quantly
Quill AI,https://quillai.com/,Gabriel Banks; Kartik Donepudi,https://www.linkedin.com/in/gabriel-banks-662548230; https://www.linkedin.com/in/kartik-donepudi-763a22167,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/quill-ai
Radpod,https://radpod.ai/,Yijia Liang,https://www.linkedin.com/in/yijia-liang/,,,📈,,ai-for-hedge-funds,https://www.linkedin.com/company/radpod-ai
Reflexivity,https://reflexivity.com/,Jan Szilagyi,https://www.linkedin.com/in/jan-szilagyi-12284ab,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/reflexivityai
Revi,https://www.revi.ai/,,,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/revi
Rivanna,https://www.rivanna.ai/,Richard Song,https://www.linkedin.com/in/richard-song-uva/,,,,,ai-for-hedge-funds,
Rogo,https://rogo.ai/,Gabriel Stengel,https://www.linkedin.com/in/gabestengel,,,,🧠,ai-for-hedge-funds,https://www.linkedin.com/company/rogoai
Rowspace AI,https://rowspace.ai/,Michael Manapat,https://www.linkedin.com/in/mlmanapat,,,💻,,ai-for-hedge-funds,https://www.linkedin.com/company/rowspaceai
Samaya AI,https://samaya.ai/,Maithra Raghu,https://www.linkedin.com/in/maithra-raghu-35967aa1,Notable forMorgan Stanley endorsement,,💻,🧠,ai-for-hedge-funds,https://www.linkedin.com/company/samaya-ai
Scalar Field,https://www.scalarfield.io/,,,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/scalar-field
Scend,https://www.scend.ai/,,,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/scendinc/
SEC Insights,https://secinsights.ai/,Jerry Liu,https://www.linkedin.com/in/jerry-liu-64390071,Maintained as project of LlamaIndex,,💻,🧠,ai-for-hedge-funds,
Serafis,https://serafis.ai/,Rohan Sharma,https://www.linkedin.com/in/r9a/,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/serafis
Sibli,https://sibli.ai/,Alik Sokolov,https://www.linkedin.com/in/aliksokolov,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/sibliai
Sigtech,https://sigtech.com/,,,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/sigtechltd
Six AI (Six HQ),https://sixhq.ai/,Michael Ma,https://www.linkedin.com/in/michaelyhma,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/sixhqai
StockInsights AI,https://www.stockinsights.ai/,Ganesh Voona; Sahas Nanabala,https://www.linkedin.com/in/ganesh-voona-17357359; https://www.linkedin.com/in/sahas-nanabala,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/stockinsights-ai
Stratalens,https://www.stratalens.ai/,,,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/stratalensinsurtech
Structify,https://structify.ai/,Alex Reichenbach,https://www.linkedin.com/in/alex-reichenbach-99055727a,,,,⚙️,ai-for-hedge-funds,https://www.linkedin.com/company/structifyai
Synquery,https://www.synquery.ai/,,,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/synquery/
Tenkay,https://tenkay.ai/,,,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/tenkay-ai
Tenzing Memo,https://tenzingmemo.com/,Nicholas Kapur,https://www.linkedin.com/in/nicholas-kapur,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/tenzing-memo
Terminal X,https://theterminalx.com/,Hyun Hong,https://www.linkedin.com/in/honghyun,,,,🖥️,ai-for-hedge-funds,https://www.linkedin.com/company/terminalx-ai
Theia Insights,https://www.theiainsights.com/,,,,,,✨,ai-for-hedge-funds,https://www.linkedin.com/company/theia-insights
Tolt IQ,https://www.toltiq.com/,,,akadiligentiq.com,,,,ai-for-hedge-funds,https://www.linkedin.com/company/toltiq
Tornado AI,https://ai.tornado.com/,,,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/tornado-so
Tracelight,https://tracelight.ai/,,,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/tracelightai
Transcripts Platform Aeronaut,https://transcripts.platformaeronaut.com/,,,,,,,ai-for-hedge-funds,
Trata,https://www.trytrata.com/,Alexander Chen; Eric Cho; William Gao,https://www.linkedin.com/in/alexanderqchen/; https://linkedin.com/in/emc329; https://www.linkedin.com/in/william-m-gao,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/trata-inc
Understory,https://www.understorytech.com/,David Fine; Eric Shapiro; Alex McLean,https://www.linkedin.com/in/dafine/; https://www.linkedin.com/in/eric-shapiro-95166a57/; https://www.linkedin.com/in/alexmclean25/,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/understoryinc
Unique AI,https://alexizydorczyk.com/Unique.ai,,,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/unique-zurich
Uptrends.ai,https://uptrends.ai/,Ramsey Shaffer; Sam Cartford,https://www.linkedin.com/in/ramseyshaffer; https://www.linkedin.com/in/samuel-cartford,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/uptrendsai
Value Sense,https://valuesense.io/,George Narinyan,https://www.linkedin.com/in/george-narinyan,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/value-sense
ValuWiki,https://www.valuwiki.com/,Rahul Singh Solanki,https://www.linkedin.com/in/rahul-singh-solanki/?originalSubdomain=in,Pivot away from purely finance ICP; still focused on analyst research broadly,,,🧠,ai-for-hedge-funds,https://www.linkedin.com/company/valuwiki
Velvet,https://www.velvetfs.com/,Alexander Johnson,https://www.linkedin.com/in/alexander-johnson-72bb22132/,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/velvetvc
Village,https://village.dev/,,,,,,🧠,ai-for-hedge-funds,https://www.linkedin.com/company/villagehq
Wissen AI,https://www.wissen-ai.com/,,,,,,,ai-for-hedge-funds,
WithAI,https://withai.co/,Ian M.J. McInnis,https://www.linkedin.com/in/imj-mcinnis/,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/withai-inc
Wokelo,https://www.wokelo.ai/,Sid Masson; Saswat Nanda,https://www.linkedin.com/in/siddhantmasson/; https://www.linkedin.com/in/saswat-nanda/,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/wokelo-ai
Zanista,https://zanista.ai/,Arman Khaledian; Nariman Khaledian,https://www.linkedin.com/in/armankhaledian; https://www.linkedin.com/in/nariman-khaledian,,,,🖥️,ai-for-hedge-funds,https://www.linkedin.com/company/zanista-ai
ZeroWallStreet,https://zerowallstreet.com/,Artiom Baloian,https://www.linkedin.com/in/artiombaloian/,Product developed by Blockpulsar,,,🧠,ai-for-hedge-funds,https://www.linkedin.com/company/wealth-without-wall-street
Zillion,https://www.tryzillion.com/,,,,,,,ai-for-hedge-funds,
Zoonova,https://zoonova.com/,,,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/zoonova
Aura,https://www.getaura.ai/,,,,,,,ai-financial-data,
Brightdata,https://brightdata.com/,,,,,,,ai-financial-data,https://www.linkedin.com/company/bright-data
Databento,https://databento.com/,,,,,,,ai-financial-data,https://www.linkedin.com/company/databento
Datamule,https://datamule.xyz/,John Friedman,https://www.linkedin.com/in/john-friedman-8694251aa/,,,,,ai-financial-data,https://www.linkedin.com/company/datamulesec
Exa,https://exa.ai/,,,,,,,ai-financial-data,https://www.linkedin.com/company/exa-ai
Factonium,https://factonium.com/en-us/,,,,,,,ai-financial-data,
Financial Datasets,https://www.financialdatasets.ai/,Virat Singh,https://www.linkedin.com/in/singhvirat/,,,,,ai-financial-data,https://www.linkedin.com/company/financial-datasets
Financial Modeling Prep,https://site.financialmodelingprep.com/,,,,,,,ai-financial-data,https://www.linkedin.com/company/financial-modeling-prep
Firecrawl,https://www.firecrawl.dev/,,,,,,,ai-financial-data,https://www.linkedin.com/company/firecrawl
Forage AI,https://forage.ai/,Aaron Calvo,https://www.linkedin.com/in/aaron-calvo/,,,,,ai-financial-data,https://www.linkedin.com/company/forageai
Godel Terminal,https://godelterminal.com/,,,,,,,ai-financial-data,https://www.linkedin.com/company/godelterminal
Kadoa,https://www.kadoa.com/,Adrian Krebs,https://www.linkedin.com/in/adrian-krebs-21b066128/,,,,,ai-financial-data,https://www.linkedin.com/company/kadoa
Parsym,https://www.parsym.com/,Bhargav Shivarthy,https://www.linkedin.com/in/bhargavshivarthy,,,,,ai-financial-data,https://www.linkedin.com/company/parasym
Polygon,https://polygon.io/,,,,,,,ai-financial-data,https://www.linkedin.com/company/polygon-io/
Sov.ai,https://sov.ai/,,,,,,,ai-financial-data,
