name,query,reason
Complexiti,"site:linkedin.com/company ""Complexiti"" complexiti.ai Chicago",no linkedin.com/company/ URL found in response/search results [retried: still no URL]
Datamule,"site:linkedin.com/company ""Datamule"" datamule.xyz",no linkedin.com/company/ URL found in response/search results [retried: still no URL]
Finbar,"site:linkedin.com/company finbar.com ""finbar"" hedge fund",no linkedin.com/company/ URL found in response/search results [retried: still no URL]
Finrep,"site:linkedin.com/company ""Finrep AI"" finrep.ai","candidate https://www.linkedin.com/company/finrepai failed validation: slug 'finrepai' doesn't bidirectionally match 'Finrep', domain 'https://finrep.ai/' not found in result context, and domain doesn't directly map to slug [retried: candidate https://www.linkedin.com/company/finrepai also failed: slug 'finrepai' doesn't bidirectionally match 'Finrep', domain 'https://finrep.ai/' not found in result context, and domain doesn't directly map to slug]"
FinSynth,"site:linkedin.com/company ""FinSynth AI"" finsynth.ai","candidate https://www.linkedin.com/company/finsynthai failed validation: slug 'finsynthai' doesn't bidirectionally match 'FinSynth', domain 'https://finsynth.ai/' not found in result context, and domain doesn't directly map to slug [retried: candidate https://www.linkedin.com/company/finsynthai also failed: slug 'finsynthai' doesn't bidirectionally match 'FinSynth', domain 'https://finsynth.ai/' not found in result context, and domain doesn't directly map to slug]"
First Draft Research,"site:linkedin.com/company ""First Draft Research""","no linkedin.com/company/ URL found in response/search results [retried: candidate https://www.linkedin.com/company/first-draft-news also failed: slug 'first-draft-news' doesn't bidirectionally match 'First Draft Research', domain 'https://firstdraftresearch.com/waitlist' not found in result context, and domain doesn't directly map to slug]"
Godel Terminal,"site:linkedin.com/company ""Godel Terminal""","candidate https://www.linkedin.com/company/godelterminal failed validation: slug 'godelterminal' doesn't bidirectionally match 'Godel Terminal', domain 'https://godelterminal.com/' not found in result context, and domain doesn't directly map to slug [retried: candidate https://www.linkedin.com/company/godelterminal also failed: slug 'godelterminal' doesn't bidirectionally match 'Godel Terminal', domain 'https://godelterminal.com/' not found in result context, and domain doesn't directly map to slug]"
Invesst,"site:linkedin.com/company ""Invesst"" invesst.ai",no linkedin.com/company/ URL found in response/search results [retried: still no URL]
MLQ,"site:linkedin.com/company ""MLQ.ai"" mlq.ai",no linkedin.com/company/ URL found in response/search results [retried: still no URL]
Octagon AI,site:linkedin.com/company Octagon octagonai.co,"no linkedin.com/company/ URL found in response/search results [retried: candidate https://www.linkedin.com/company/octagonstudio also failed: slug 'octagonstudio' doesn't bidirectionally match 'Octagon AI', domain 'https://octagonai.co/' not found in result context, and domain doesn't directly map to slug]"
Palmy Investing,site:linkedin.com/company Palmy palmyinvesting.com,"no linkedin.com/company/ URL found in response/search results [retried: candidate https://www.linkedin.com/company/palmy-consulting also failed: slug 'palmy-consulting' doesn't bidirectionally match 'Palmy Investing', domain 'https://palmyinvesting.com/' not found in result context, and domain doesn't directly map to slug]"
Six AI (Six HQ),site:linkedin.com/company SixAI sixhq.ai,"no linkedin.com/company/ URL found in response/search results [retried: candidate https://www.linkedin.com/company/sixhqai also failed: slug 'sixhqai' doesn't bidirectionally match 'Six AI (Six HQ)', domain 'https://sixhq.ai/' not found in result context, and domain doesn't directly map to slug]"
Tenkay,site:linkedin.com/company Tenkay tenkay.ai,"candidate https://www.linkedin.com/company/tenkay-electronics-ltd failed validation: slug 'tenkay-electronics-ltd' doesn't bidirectionally match 'Tenkay', domain 'https://tenkay.ai/' not found in result context, and domain doesn't directly map to slug [retried: candidate https://www.linkedin.com/company/tenzai-inc also failed: slug 'tenzai-inc' doesn't bidirectionally match 'Tenkay', domain 'https://tenkay.ai/' not found in result context, and domain doesn't directly map to slug]"
Transcripts Platform Aeronaut,"site:linkedin.com/company ""Platform Aeronaut"" transcripts",no linkedin.com/company/ URL found in response/search results [retried: still no URL]
Twelve Data,"site:linkedin.com/company ""Twelve Data"" twelvedata.com",no linkedin.com/company/ URL found in response/search results [retried: still no URL]
Batonics,site:linkedin.com/company Batonics batonics.com,"candidate https://www.linkedin.com/company/batonmarket failed validation: slug 'batonmarket' doesn't bidirectionally match 'Batonics', domain 'https://www.batonics.com/' not found in result context, and domain doesn't directly map to slug [retried: candidate https://www.linkedin.com/company/batonmarket also failed: slug 'batonmarket' doesn't bidirectionally match 'Batonics', domain 'https://www.batonics.com/' not found in result context, and domain doesn't directly map to slug]"
Captide,site:linkedin.com/company Captide captide.ai,"candidate https://www.linkedin.com/company/captv-ai failed validation: slug 'captv-ai' doesn't bidirectionally match 'Captide', domain 'https://www.captide.ai/' not found in result context, and domain doesn't directly map to slug [retried: candidate https://www.linkedin.com/company/captv-ai also failed: slug 'captv-ai' doesn't bidirectionally match 'Captide', domain 'https://www.captide.ai/' not found in result context, and domain doesn't directly map to slug]"
Docubridge,site:linkedin.com/company DocuBridge docubridge.ai,"candidate https://www.linkedin.com/company/docusai/ failed validation: slug 'docusai' doesn't bidirectionally match 'Docubridge', domain 'https://www.docubridge.ai/' not found in result context, and domain doesn't directly map to slug [retried: candidate https://www.linkedin.com/company/docusai/ also failed: slug 'docusai' doesn't bidirectionally match 'Docubridge', domain 'https://www.docubridge.ai/' not found in result context, and domain doesn't directly map to slug]"
Aura,"site:linkedin.com/company ""Aura Intelligence"" getaura.ai","candidate https://www.linkedin.com/company/aura-intel failed validation: slug 'aura-intel' doesn't bidirectionally match 'Aura', domain 'https://www.getaura.ai/' not found in result context, and domain doesn't directly map to slug [retried: candidate https://www.linkedin.com/company/aura-intel also failed: slug 'aura-intel' doesn't bidirectionally match 'Aura', domain 'https://www.getaura.ai/' not found in result context, and domain doesn't directly map to slug]"
Onwish,site:linkedin.com/company Onwish onwish.ai,"candidate https://www.linkedin.com/company/bestwishes-ai failed validation: slug 'bestwishes-ai' doesn't bidirectionally match 'Onwish', domain 'https://www.onwish.ai/' not found in result context, and domain doesn't directly map to slug [retried: candidate https://www.linkedin.com/company/bestwishes-ai also failed: slug 'bestwishes-ai' doesn't bidirectionally match 'Onwish', domain 'https://www.onwish.ai/' not found in result context, and domain doesn't directly map to slug]"
Revi,site:linkedin.com/company Revi revi.ai M&A origination,"no linkedin.com/company/ URL found in response/search results [retried: candidate https://www.linkedin.com/company/ai-rev also failed: slug 'ai-rev' doesn't bidirectionally match 'Revi', domain 'https://www.revi.ai/' not found in result context, and domain doesn't directly map to slug]"
Understory,site:linkedin.com/company Understory understorytech.com,"candidate https://www.linkedin.com/company/understory-technologies failed validation: slug 'understory-technologies' doesn't bidirectionally match 'Understory', domain 'https://www.understorytech.com/' not found in result context, and domain doesn't directly map to slug [retried: candidate https://www.linkedin.com/company/understory-technologies also failed: slug 'understory-technologies' doesn't bidirectionally match 'Understory', domain 'https://www.understorytech.com/' not found in result context, and domain doesn't directly map to slug]"
ValuWiki,site:linkedin.com/company ValuWiki valuwiki.com,"candidate https://www.linkedin.com/company/valuegypt failed validation: slug 'valuegypt' doesn't bidirectionally match 'ValuWiki', domain 'https://www.valuwiki.com/' not found in result context, and domain doesn't directly map to slug [retried: candidate https://www.linkedin.com/company/valuegypt also failed: slug 'valuegypt' doesn't bidirectionally match 'ValuWiki', domain 'https://www.valuwiki.com/' not found in result context, and domain doesn't directly map to slug]"
